id_alumno,educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,rendimiento_academico_continuo
1,menos que primaria,menos que primaria,0,0,1,0.27659351501020346,0.2785539070638064,0.06982163899083751,0,1,0,2,-2.2069009359213556,423.03433333333334
2,primaria,bachillerato,0,0,1,-0.48059349840872606,-1.313531783504371,-0.3628100573997287,1,1,1,2,-0.31640876435161486,350.81933333333336
3,secundaria,menos que primaria,0,0,0,0.1793485098240299,0.12985884961572944,0.09482015277462841,1,1,1,0,-1.6253770822779574,417.3136666666667
4,bachillerato,bachillerato tecnico,0,0,1,-0.07363626160027065,-0.009014104711132741,0.10678582345982694,0,1,1,4,1.2866457073251978,407.955
5,bachillerato,bachillerato,1,0,1,-0.3244481221385397,0.5523540814169935,0.07574444588518318,0,1,1,2,1.2210246043156976,416.9156666666667
6,bachillerato tecnico,bachillerato tecnico,1,1,1,1.1154964638164717,1.4478789035842003,0.22849683720759179,1,1,1,1,1.8553907145930617,478.60533333333336
7,menos que primaria,secundaria,0,1,1,-0.42178004376015493,-0.4368909802372883,-0.6267884935082914,0,1,1,1,-0.7091856032861091,369.7933333333333
8,secundaria,secundaria,1,0,1,-0.7384600762903102,-0.3440998586130317,-0.9161789727108366,1,1,1,0,-0.852947625010869,357.8383333333333
9,menos que primaria,primaria,1,0,0,-0.23882094715634544,-0.3692946391008666,-0.38530071601204013,1,1,0,1,-1.713274822888051,381.90500000000003
10,bachillerato,secundaria,1,0,1,1.7766118439276855,2.5209014369468328,1.6553063539174748,0,1,1,3,-0.10624854760803183,559.1133333333333
11,bachillerato,bachillerato,1,0,1,-0.10159438166720273,-0.8201339989509443,-0.7481526762217033,0,1,0,1,-0.5688773238250071,363.54133333333334
12,bachillerato,bachillerato,0,0,1,-1.7081288022179228,-1.6832965599742953,-1.6630129069153945,1,1,0,0,-0.3478378189509017,279.8686666666667
13,bachillerato,bachillerato,1,1,1,0.7687288585510742,1.2609090167743362,1.3769477695384071,1,1,1,3,1.615528314382021,494.1586666666667
14,bachillerato,bachillerato tecnico,0,0,0,-1.4911708932840155,-0.5037995328259104,-1.2001402122602314,0,1,1,2,1.1128361279066141,329.0106666666666
15,secundaria,sin informacion,0,0,1,-2.4426306259866895,-2.052023620389644,-1.257807541549095,1,1,0,1,-1.2680874451025483,262.9066666666667
16,bachillerato,bachillerato,1,0,0,-1.4674427064085576,-2.7747445865385187,-1.2587679967211505,1,1,1,1,-0.17161061994775761,265.3573333333334
17,bachillerato,secundaria,0,0,1,1.5952027570892453,1.145758734113702,0.8882495024790713,0,1,0,2,-0.32400699733166216,497.7836666666667
18,bachillerato,bachillerato,1,0,1,0.09147599359293732,-0.02582269150210632,-0.5384132780239703,1,1,1,3,0.8906741567968199,395.16766666666666
