id_alumno,educacion_madre,educacion_padre,genero,computadora,internet,matematicas,comprension_lectora,ciencias,cuarto_propio,television,auto,libros,indice_socioeconomico,rendimiento_academico
1,1,1,0,0,1,0.27659351501020346,0.2785539070638064,0.06982163899083751,0,1,0,2,-2.2069009359213556,0.22179045650207346
2,2,4,0,0,1,-0.48059349840872606,-1.313531783504371,-0.3628100573997287,1,1,1,2,-0.31640876435161486,-0.7916433530456185
3,3,1,0,0,0,0.1793485098240299,0.12985884961572944,0.09482015277462841,1,1,1,0,-1.6253770822779574,0.14150911587820736
4,4,5,0,0,1,-0.07363626160027065,-0.009014104711132741,0.10678582345982694,0,1,1,4,1.2866457073251978,0.010173670163507769
5,4,4,1,0,1,-0.3244481221385397,0.5523540814169935,0.07574444588518318,0,1,1,2,1.2210246043156976,0.13592375748729205
6,5,5,1,1,1,1.1154964638164717,1.4478789035842003,0.22849683720759179,1,1,1,1,1.8553907145930617,1.0016496302246358
7,1,3,0,1,1,-0.42178004376015493,-0.4368909802372883,-0.6267884935082914,0,1,1,1,-0.7091856032861091,-0.5253705135751783
8,3,3,1,0,1,-0.7384600762903102,-0.3440998586130317,-0.9161789727108366,1,1,1,0,-0.852947625010869,-0.6931417687595949
9,1,2,1,0,0,-0.23882094715634544,-0.3692946391008666,-0.38530071601204013,1,1,0,1,-1.713274822888051,-0.35540066672934467
10,4,3,1,0,1,1.7766118439276855,2.5209014369468328,1.6553063539174748,0,1,1,3,-0.10624854760803183,2.131463784334801
11,4,4,1,0,1,-0.10159438166720273,-0.8201339989509443,-0.7481526762217033,0,1,0,1,-0.5688773238250071,-0.6131083544294623
12,4,4,0,0,1,-1.7081288022179228,-1.6832965599742953,-1.6630129069153945,1,1,0,0,-0.3478378189509017,-1.787334060100226
13,4,4,1,1,1,0.7687288585510742,1.2609090167743362,1.3769477695384071,1,1,1,3,1.615528314382021,1.2199183258026336
14,4,5,0,0,0,-1.4911708932840155,-0.5037995328259104,-1.2001402122602314,0,1,1,2,1.1128361279066141,-1.0976966680238895
